problema,n,hc_mean,hc_std,sa_mean,sa_std,hc_time,sa_time
rastrigin,2,13.7304,11.5045,4.2458,5.0155,0.0080,0.0137
rastrigin,5,31.6400,21.5287,18.1578,15.2676,0.0109,0.0179
rastrigin,10,68.6549,19.7369,66.0170,25.3711,0.0116,0.0244
rastrigin,20,146.8781,18.2536,140.1459,35.5023,0.0195,0.0344
rastrigin,30,259.7711,39.0603,252.0690,47.2054,0.0284,0.0498
tsp,10,264.1389,0.0000,264.1389,0.0000,0.0211,0.1301
tsp,20,354.6427,4.5390,352.3182,0.0000,0.0354,0.2232
tsp,30,452.2029,10.1595,425.3994,1.0868,0.0437,0.3333
tsp,50,630.3894,38.7793,590.5892,11.9197,0.0788,0.4729
tsp,80,1056.2256,31.8135,794.1538,28.3277,0.1005,0.7277
